only_if%4:02:00::,"If we introduce the condition before the ? it will use this condition only_if it is true , if it finds a ? without any condition , it will enter in the last instance .",only%4:02:01::,-,,
social_affair%1:14:00::,"Key speakers at the social exclusion conference were ( left to right ) Cristina Louro , Employment , Industrial Relations and Social_Affairs Directorate , European Commission Fernando Gomes , a high degree of Committee of the Regions Barbara Weiler , Member of the European Parliament José Maria Gil-Robles , Vice-President , European Parliament and John Carroll , Economic and Social Committee .",social%3:01:00::,affair%1:09:00::,,
in_practice%4:02:00::,"In_practice , it ends_up being equated with a "" self-expression "" that encourages the youngsters ' "" self-esteem . """,-,practice%1.04.04..,,
and_then%4:02:00::,"The bond issue will go to the state courts for a friendly test_suit to test the validity of the act , and_then the sales will begin and contracts let for repair work on some of Georgia 's most heavily traveled highways .",-,then%4.02.00..,,
and_then%4:02:00::,"Saxton has made only one second-half appearance this season and that was in the Washington_State game , for four plays : he returned the kickoff 30 yards , gained five yards through the line and_then uncorked a 56 - yard touchdown run before retiring to the bench .",-,then%4.02.00..,,
and_then%4:02:00::,"Skorich , who is 39 years old , played football at Cincinnati_University and_then had a three year professional career as a lineman under Jock_Sutherland with the Pittsburgh_Steelers .",-,then%4.02.00..,,
and_then%4:02:00::,He just shot at the board and_then drew circles around the holes to form a bull's-eye .,-,then%4.02.00..,,
and_then%4:02:00::,"Such efforts almost always find themselves compelled to ask whether Adam was created capable of growing old and_then older and_then still older , in_short , whether Adam 's life was intended to be part of the process of time .",-,then%4.02.00..,,
and_then%4:02:00::,"Such efforts almost always find themselves compelled to ask whether Adam was created capable of growing old and_then older and_then still older , in_short , whether Adam 's life was intended to be part of the process of time .",-,then%4.02.00..,,
and_then%4:02:00::,"This and other fears of the solar_system have disappeared gradually , first , with the Ptolemaic_system and its built-in concept of periodicity and_then , more firmly , with the Newtonian innovation of an universal force that could account quantitatively for both terrestrial and celestial motions .",-,then%4.02.00..,,
and_then%4:02:00::,"The P.D.I. and later the Popular_Movement protected the Istiqlal 's "" privileged position "" until the fall of Balafrej , and_then the Istiqlal used the same argument , which it had previously ignored , against the pro U.N.F.P. tendencies of the Ibrahim government .",-,then%4.02.00..,,
and_then%4:02:00::,"But by the tracing procedure , he could , in a strange obviously kinesthetic manner , find the unseen form ; could piece , as_it_were , the jumbled mass together into an organized whole and_then recognize it as a man or a triangle or whatever it turned_out to be .",-,then%4.02.00..,,
and_then%4:02:00::,"Quite naturally , they make the investigation , first , by prohibiting the patient from making any movements at_all and_then , later , by repeating it and allowing the patient to move in any way he wanted to .",-,then%4.02.00..,,
and_then%4:02:00::,"In their vases were embodied the basic aesthetic and logical characteristics of Greek civilization , at_first hesitantly in Protogeometric work , and_then more confidently in the initial stages of the Geometric style .",-,then%4.02.00..,,
