1st%5:00:00:ordinal:00,"One of the most damaging tsunami on record followed the famous Lisbon earthquake of November 1 , 1755 ; its waves persisted for a week and were felt as far_away as the English coast .",,,,,,,,,,,,,,,,,,,,,
1st%5:00:00:ordinal:00,"On April 1 , 1953 , after some six months of full-time "" pioneering "" , petitioner discontinued devoting 100 hours a month to preaching , but failed to so notify his local board .",1st%3:00:00:: : preceding all others in time or space or degree,,,,,,,,,,,,,,,,,,,,
abruptly%4:02:00::,"The landscape of Greek history broadens widely , and rather abruptly , in the eighth century B.C. , the age of Homer 's "" rosy fingered Dawn "" .",abruptly%4:02:01:: : quickly and without warning,,,,,,,,,,,,,,,,,,,,
abruptly%4:02:00::,"Left in their previous atom-like smallness , they would have cut_away too abruptly into depth ; and the broad , opaque shapes of pasted paper would have been isolated in such a way as to make them jump_out of plane .",abruptly%4:02:01:: : quickly and without warning,,,,,,,,,,,,,,,,,,,,
abruptly%4:02:00::,"He had not even thought_about her much except once or twice at night in bed when his slowly ranging thoughts would abruptly , almost accidentally , encounter her .",abruptly%4:02:01:: : quickly and without warning,,,,,,,,,,,,,,,,,,,,
abruptly%4:02:00::,"They were climbing the hill in the night when the headlights abruptly probed solid blackness , became two parallel luminous tubes which broadened out into a faint mist of light and ended .",abruptly%4:02:01:: : quickly and without warning,,,,,,,,,,,,,,,,,,,,
abruptly%4:02:00::,The dawn progressed and it seemed that the doctor would never be done_with his ministrations when quite abruptly something broke his revery .,abruptly%4:02:01:: : quickly and without warning,,,,,,,,,,,,,,,,,,,,
abruptly%4:02:00::,"Stevens was grunting over the last empty pocket when Russ abruptly rose and lunged toward Carmer 's hat , which had tumbled half-a-dozen feet away when he first fell .",abruptly%4:02:01:: : quickly and without warning,,,,,,,,,,,,,,,,,,,,
abruptly%4:02:00::,The cloudburst cut_off abruptly .,abruptly%4:02:01:: : quickly and without warning,,,,,,,,,,,,,,,,,,,,
abruptly%4:02:00::,"Eddie stood_up abruptly , then sat_down just as abruptly .",abruptly%4:02:01:: : quickly and without warning,,,,,,,,,,,,,,,,,,,,
abruptly%4:02:00::,"Eddie stood_up abruptly , then sat_down just as abruptly .",abruptly%4:02:01:: : quickly and without warning,,,,,,,,,,,,,,,,,,,,
accustomed%3:00:00::,You should also begin this exercise with a very light barbell until you become accustomed to it balance_wise .,,,,,,,,,,,,,,,,,,,,,
accustomed%3:00:00::,"Those accustomed to broader , more romantic statements of the symphony can be expected to react strongly when they hear this one .",,,,,,,,,,,,,,,,,,,,,
accustomed%3:00:00::,"More often , though , he is so accustomed to submitting to authority on the job without argument that he lives by the same rule at home .",,,,,,,,,,,,,,,,,,,,,
accustomed%3:00:00::,"One is so accustomed to think_of men as the privileged who need but ask and receive , and women as submissive and yielding , that our sympathies are usually enlisted on the side of the man whose love is not returned , and we condemn the woman as a coquette .",,,,,,,,,,,,,,,,,,,,,
accustomed%3:00:00::,She dressed and the accustomed routine restored to her a sense of normal everyday life .,accustomed%5:00:00:usual:00 : commonly used or practiced; usual,,,,,,,,,,,,,,,,,,,,
ache%2:39:01::,"Pensive , introspective , he ached .",,ache%2:29:07:: : be in pain,,,,,,,,,,,,,,,,,,,
